Source, Destination, Weight
Institue_For_Micromanufacturing, Biomedical_Engineering_Building, 250
Biomedical_Engineering_Building, Institue_For_Micromanufacturing, 250
Davison_Hall, Biomedical_Engineering_Building, 1504
Biomedical_Engineering_Building, Davison_Hall, 1504
Davison_Hall, Adams_Hall, 400
Adams_Hall, Davison_Hall, 400
Laboratory_School, Adams_Hall, 818
Adams_Hall, Laboratory_School, 818
Visual_Arts_Center, Laboratory_School, 122
Laboratory_School, Visual_Arts_Center, 122
Visual_Arts_Center, Band_Building, 212
Band_Building, Visual_Arts_Center, 212
Visual_Arts_Center, Woodard_Hall, 378
Woodard_Hall, Visual_Arts_Center, 378
Band_Building, Woodard_Hall, 122
Woodard_Hall, Band_Building, 122
Woodard_Hall, George_T_Madison_Hall, 744
Visual_Arts_Center, Memorial_Gym, 800
Memorial_Gym, Visual_Arts_Center, 800
Robinson_Hall, Memorial_Gym, 204
Memorial_Gym, Robinson_Hall, 204
Hale_Hall, Memorial_Gym, 235
Memorial_Gym, Hale_Hall, 235
Hale_Hall, George_T_Madison_Hall, 625
George_T_Madison_Hall, Hale_Hall, 625
University_Hall, George_T_Madison_Hall, 837
George_T_Madison_Hall, University_Hall, 837
University_Hall, College_Of_Business, 770
College_Of_Business, University_Hall, 770
Early_Childhood_Education_Center, College_Of_Business, 360
College_Of_Business, Early_Childhood_Education_Center, 360
Early_Childhood_Education_Center, Integrated_Engineering_And_Science_Building, 1056
Integrated_Engineering_And_Science_Building, Early_Childhood_Education_Center, 1056
College_Of_Business, Integrated_Engineering_And_Science_Building, 528
Integrated_Engineering_And_Science_Building, College_Of_Business, 528
Nethkin_Hall, Integrated_Engineering_And_Science_Building, 285
Integrated_Engineering_And_Science_Building, Nethkin_Hall, 285
Nethkin_Hall, Engineering_Annex, 260
Engineering_Annex, Nethkin_Hall, 260
Nethkin_Hall, Carson_Taylor_Hall, 420
Carson_Taylor_Hall, Nethkin_Hall, 420
Engineering_Annex, Carson_Taylor_Hall, 170
Carson_Taylor_Hall, Engineering_Annex, 170
Bogard_Hall, Carson_Taylor_Hall, 390
Carson_Taylor_Hall, Bogard_Hall, 390
Bogard_Hall, Howard_Auditorium, 300
Howard_Auditorium, Carson_Taylor_Hall, 300
Carson_Taylor_Hall, Howard_Auditorium, 300
Davison_Hall, Carson_Taylor_Hall, 1200
Carson_Taylor_Hall, Davison_Hall, 1200
